modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
6144,1016,1,0.999999,"{""z"": 176, ""m"": 352, ""delta"": 20, ""l"": 332, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
6144,1056,1,0.9999999999,"{""z"": 176, ""m"": 352, ""delta"": 0, ""l"": 352, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
6144,704,3,0.99,"{""z"": 176, ""m"": 352, ""s"": 2, ""l"": 176, ""algorithms"": [""EH17"", ""E20""]}"
6144,588,4,0.99,"{""z"": 176, ""m"": 352, ""s"": 3, ""l"": 118, ""algorithms"": [""EH17"", ""E20""]}"
6144,528,5,0.99,"{""z"": 176, ""m"": 352, ""s"": 4, ""l"": 88, ""algorithms"": [""EH17"", ""E20""]}"
6144,494,6,0.99,"{""z"": 176, ""m"": 352, ""s"": 5, ""l"": 71, ""algorithms"": [""EH17"", ""E20""]}"
6144,470,7,0.99,"{""z"": 176, ""m"": 352, ""s"": 6, ""l"": 59, ""algorithms"": [""EH17"", ""E20""]}"
6144,454,9,0.99,"{""z"": 176, ""m"": 352, ""s"": 7, ""l"": 51, ""algorithms"": [""EH17"", ""E20""]}"
6144,440,10,0.99,"{""z"": 176, ""m"": 352, ""s"": 8, ""l"": 44, ""algorithms"": [""EH17"", ""E20""]}"
6144,432,12,0.99,"{""z"": 176, ""m"": 352, ""s"": 9, ""l"": 40, ""algorithms"": [""EH17"", ""E20""]}"
6144,424,13,0.99,"{""z"": 176, ""m"": 352, ""s"": 10, ""l"": 36, ""algorithms"": [""EH17"", ""E20""]}"
6144,416,16,0.99,"{""z"": 176, ""m"": 352, ""s"": 11, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
6144,412,17,0.99,"{""z"": 176, ""m"": 352, ""s"": 12, ""l"": 30, ""algorithms"": [""EH17"", ""E20""]}"
6144,408,19,0.99,"{""z"": 176, ""m"": 352, ""s"": 13, ""l"": 28, ""algorithms"": [""EH17"", ""E20""]}"
6144,404,21,0.99,"{""z"": 176, ""m"": 352, ""s"": 14, ""l"": 26, ""algorithms"": [""EH17"", ""E20""]}"
6144,400,24,0.99,"{""z"": 176, ""m"": 352, ""s"": 15, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
6144,396,27,0.99,"{""z"": 176, ""m"": 352, ""s"": 16, ""l"": 22, ""algorithms"": [""EH17"", ""E20""]}"
8192,1100,1,0.999,"{""z"": 200, ""m"": 400, ""delta"": 50, ""l"": 350, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
8192,1140,1,0.9999,"{""z"": 200, ""m"": 400, ""delta"": 30, ""l"": 370, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
8192,1160,1,0.999999,"{""z"": 200, ""m"": 400, ""delta"": 20, ""l"": 380, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
8192,1200,1,0.9999999999,"{""z"": 200, ""m"": 400, ""delta"": 0, ""l"": 400, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
8192,800,3,0.99,"{""z"": 200, ""m"": 400, ""s"": 2, ""l"": 200, ""algorithms"": [""EH17"", ""E20""]}"
8192,668,4,0.99,"{""z"": 200, ""m"": 400, ""s"": 3, ""l"": 134, ""algorithms"": [""EH17"", ""E20""]}"
8192,600,5,0.99,"{""z"": 200, ""m"": 400, ""s"": 4, ""l"": 100, ""algorithms"": [""EH17"", ""E20""]}"
8192,560,6,0.99,"{""z"": 200, ""m"": 400, ""s"": 5, ""l"": 80, ""algorithms"": [""EH17"", ""E20""]}"
8192,534,7,0.99,"{""z"": 200, ""m"": 400, ""s"": 6, ""l"": 67, ""algorithms"": [""EH17"", ""E20""]}"
8192,516,9,0.99,"{""z"": 200, ""m"": 400, ""s"": 7, ""l"": 58, ""algorithms"": [""EH17"", ""E20""]}"
8192,500,10,0.99,"{""z"": 200, ""m"": 400, ""s"": 8, ""l"": 50, ""algorithms"": [""EH17"", ""E20""]}"
8192,490,11,0.99,"{""z"": 200, ""m"": 400, ""s"": 9, ""l"": 45, ""algorithms"": [""EH17"", ""E20""]}"
8192,480,13,0.99,"{""z"": 200, ""m"": 400, ""s"": 10, ""l"": 40, ""algorithms"": [""EH17"", ""E20""]}"
8192,474,15,0.99,"{""z"": 200, ""m"": 400, ""s"": 11, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
8192,468,16,0.99,"{""z"": 200, ""m"": 400, ""s"": 12, ""l"": 34, ""algorithms"": [""EH17"", ""E20""]}"
8192,462,18,0.99,"{""z"": 200, ""m"": 400, ""s"": 13, ""l"": 31, ""algorithms"": [""EH17"", ""E20""]}"
8192,458,20,0.99,"{""z"": 200, ""m"": 400, ""s"": 14, ""l"": 29, ""algorithms"": [""EH17"", ""E20""]}"
8192,454,22,0.99,"{""z"": 200, ""m"": 400, ""s"": 15, ""l"": 27, ""algorithms"": [""EH17"", ""E20""]}"
8192,450,25,0.99,"{""z"": 200, ""m"": 400, ""s"": 16, ""l"": 25, ""algorithms"": [""EH17"", ""E20""]}"
8192,448,27,0.99,"{""z"": 200, ""m"": 400, ""s"": 17, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
